species,Common Name,Threat Status,Original Map Link,Family
Scytalopus iraiensis,Marsh Tapaculo,EN,https://mol.org/species/map/Scytalopus iraiensis,Rhinocryptidae
Scytalopus petrophilus,Rock Tapaculo,LC,https://mol.org/species/map/Scytalopus petrophilus,Rhinocryptidae
Scytalopus speluncae,Mouse-Coloured Tapaculo,LC,https://mol.org/species/map/Scytalopus speluncae,Rhinocryptidae
Psilorhamphus guttatus,Spotted Bamboowren,LC,https://mol.org/species/map/Psilorhamphus guttatus,Rhinocryptidae
Scytalopus novacapitalis,Brasilia Tapaculo,EN,https://mol.org/species/map/Scytalopus novacapitalis,Rhinocryptidae
Eleoscytalopus indigoticus,White-Breasted Tapaculo,LC,https://mol.org/species/map/Eleoscytalopus indigoticus,Rhinocryptidae
Chamaeza meruloides,Cryptic Antthrush,LC,https://mol.org/species/map/Chamaeza meruloides,Formicariidae
Chamaeza campanisona,Short-Tailed Antthrush,LC,https://mol.org/species/map/Chamaeza campanisona,Formicariidae
Formicarius colma,Rufous-Capped Antthrush,LC,https://mol.org/species/map/Formicarius colma,Formicariidae
Chamaeza ruficauda,Scalloped Antthrush,LC,https://mol.org/species/map/Chamaeza ruficauda,Formicariidae
Dendrocolaptes platyrostris,Planalto Woodcreeper,LC,https://mol.org/species/map/Dendrocolaptes platyrostris,Furnariidae
Furnarius figulus,Band-Tailed Hornero,LC,https://mol.org/species/map/Furnarius figulus,Furnariidae
Furnarius leucopus,Pale-Legged Hornero,LC,https://mol.org/species/map/Furnarius leucopus,Furnariidae
Furnarius rufus,Rufous Hornero,LC,https://mol.org/species/map/Furnarius rufus,Furnariidae
Lochmias nematura,Sharp-Tailed Streamcreeper,LC,https://mol.org/species/map/Lochmias nematura,Furnariidae
Thripophaga macroura,Striated Softtail,VU,https://mol.org/species/map/Thripophaga macroura,Furnariidae
Pseudoseisura cristata,Rufous Cacholote,LC,https://mol.org/species/map/Pseudoseisura cristata,Furnariidae
