species,Common Name,Threat Status,Original Map Link,Family
Dendrocincla fuliginosa,Plain-Brown Woodcreeper,LC,https://mol.org/species/map/Dendrocincla fuliginosa,Furnariidae
Dendrocincla turdina,Thrush Like Woodcreeper,LC,https://mol.org/species/map/Dendrocincla turdina,Furnariidae
Syndactyla rufosuperciliata,Buff-Browed Foliage-Gleaner,LC,https://mol.org/species/map/Syndactyla rufosuperciliata,Furnariidae
Syndactyla dimidiata,Russet Mantled Foliage Gleaner,LC,https://mol.org/species/map/Syndactyla dimidiata,Furnariidae
Synallaxis spixi,Spix's Spinetail,LC,https://mol.org/species/map/Synallaxis spixi,Furnariidae
Synallaxis scutata,Ochre-Cheeked Spinetail,LC,https://mol.org/species/map/Synallaxis scutata,Furnariidae
Synallaxis ruficapilla,Rufous-Capped Spinetail,LC,https://mol.org/species/map/Synallaxis ruficapilla,Furnariidae
Synallaxis hypospodia,Cinereous-Breasted Spinetail,LC,https://mol.org/species/map/Synallaxis hypospodia,Furnariidae
Synallaxis frontalis,Sooty-Fronted Spinetail,LC,https://mol.org/species/map/Synallaxis frontalis,Furnariidae
Synallaxis cinerea,,NT,https://mol.org/species/map/Synallaxis cinerea,Furnariidae
Synallaxis cinerascens,Grey-Bellied Spinetail,LC,https://mol.org/species/map/Synallaxis cinerascens,Furnariidae
Synallaxis albescens,Pale-Breasted Spinetail,LC,https://mol.org/species/map/Synallaxis albescens,Furnariidae
Campylorhamphus falcularius,Black-Billed Scythebill,LC,https://mol.org/species/map/Campylorhamphus falcularius,Furnariidae
Cranioleuca pallida,Pallid Spinetail,LC,https://mol.org/species/map/Cranioleuca pallida,Furnariidae
Cranioleuca vulpina,Coiba Spinetail,LC,https://mol.org/species/map/Cranioleuca vulpina,Furnariidae
Clibanornis rectirostris,,LC,https://mol.org/species/map/Clibanornis rectirostris,Furnariidae
Automolus leucophthalmus,White-Eyed Foliage-Gleaner,LC,https://mol.org/species/map/Automolus leucophthalmus,Furnariidae
Geositta poeciloptera,Campo Miner,VU,https://mol.org/species/map/Geositta poeciloptera,Furnariidae
Lepidocolaptes squamatus,Scaled Woodcreeper,LC,https://mol.org/species/map/Lepidocolaptes squamatus,Furnariidae
Lepidocolaptes angustirostris,Narrow-Billed Woodcreeper,LC,https://mol.org/species/map/Lepidocolaptes angustirostris,Furnariidae
Glyphorynchus spirurus,Wedge Billed Woodcreeper,LC,https://mol.org/species/map/Glyphorynchus spirurus,Furnariidae
Heliobletus contaminatus,Sharp-Billed Treehunter,LC,https://mol.org/species/map/Heliobletus contaminatus,Furnariidae
Anumbius annumbi,Firewood-Gatherer,LC,https://mol.org/species/map/Anumbius annumbi,Furnariidae
Cichlocolaptes leucophrus,Pale-Browed Treehunter,LC,https://mol.org/species/map/Cichlocolaptes leucophrus,Furnariidae
Phacellodomus erythrophthalmus,Red-Eyed Thornbird,LC,https://mol.org/species/map/Phacellodomus erythrophthalmus,Furnariidae
Phacellodomus ferrugineigula,Orange-Breasted Thornbird,LC,https://mol.org/species/map/Phacellodomus ferrugineigula,Furnariidae
Schoeniophylax phryganophilus,Chotoy Spinetail,LC,https://mol.org/species/map/Schoeniophylax phryganophilus,Furnariidae
Phacellodomus rufifrons,Rufous-Fronted Thornbird,LC,https://mol.org/species/map/Phacellodomus rufifrons,Furnariidae
Cinclodes pabsti,Long-Tailed Cinclodes,NT,https://mol.org/species/map/Cinclodes pabsti,Furnariidae
Sclerurus scansor,Rufous-Breasted Leafscraper,LC,https://mol.org/species/map/Sclerurus scansor,Furnariidae
Xenops minutus,Plain Xenops,LC,https://mol.org/species/map/Xenops minutus,Furnariidae
Xenops rutilans,Streaked Xenops,LC,https://mol.org/species/map/Xenops rutilans,Furnariidae
Xiphocolaptes albicollis,Vila Nova Woodcreeper,LC,https://mol.org/species/map/Xiphocolaptes albicollis,Furnariidae
Xiphorhynchus fuscus,Lesser Woodcreeper,LC,https://mol.org/species/map/Xiphorhynchus fuscus,Furnariidae
Anabazenops fuscus,White-Collared Foliage-Gleaner,LC,https://mol.org/species/map/Anabazenops fuscus,Furnariidae
Certhiaxis cinnamomeus,Yellow-Chinned Spinetail,LC,https://mol.org/species/map/Certhiaxis cinnamomeus,Furnariidae
Anabacerthia lichtensteini,,LC,https://mol.org/species/map/Anabacerthia lichtensteini,Furnariidae
Philydor atricapillus,Black-Capped Foliage-Gleaner,LC,https://mol.org/species/map/Philydor atricapillus,Furnariidae
Sittasomus griseicapillus,Olivaceous Woodcreeper,LC,https://mol.org/species/map/Sittasomus griseicapillus,Furnariidae
Asthenes luizae,Cipo Canastero,NT,https://mol.org/species/map/Asthenes luizae,Furnariidae
Asthenes moreirae,Itatiaia Spinetail,LC,https://mol.org/species/map/Asthenes moreirae,Furnariidae
Myiopagis viridicata,Greenish Elaenia,LC,https://mol.org/species/map/Myiopagis viridicata,Tyrannidae
Myiarchus tyrannulus,Brown-Crested Flycatcher,LC,https://mol.org/species/map/Myiarchus tyrannulus,Tyrannidae
Myiodynastes maculatus,Streaked Flycatcher,LC,https://mol.org/species/map/Myiodynastes maculatus,Tyrannidae
Colonia colonus,Long-Tailed Tyrant,LC,https://mol.org/species/map/Colonia colonus,Tyrannidae
Capsiempis flaveola,Yellow Tyrannulet,LC,https://mol.org/species/map/Capsiempis flaveola,Tyrannidae
Myiopagis caniceps,Grey Elaenia,LC,https://mol.org/species/map/Myiopagis caniceps,Tyrannidae
Elaenia spectabilis,Large Elaenia,LC,https://mol.org/species/map/Elaenia spectabilis,Tyrannidae
Euscarthmus rufomarginatus,Rufous-Sided Pygmy-Tyrant,NT,https://mol.org/species/map/Euscarthmus rufomarginatus,Tyrannidae
Gubernetes yetapa,Streamer-Tailed Tyrant,LC,https://mol.org/species/map/Gubernetes yetapa,Tyrannidae
Myiophobus fasciatus,Bran-Coloured Flycatcher,LC,https://mol.org/species/map/Myiophobus fasciatus,Tyrannidae
Myiornis auricularis,Eared Pygmy-Tyrant,LC,https://mol.org/species/map/Myiornis auricularis,Tyrannidae
Elaenia cristata,Plain-Crested Elaenia,LC,https://mol.org/species/map/Elaenia cristata,Tyrannidae
Elaenia flavogaster,Yellow-Bellied Elaenia,LC,https://mol.org/species/map/Elaenia flavogaster,Tyrannidae
Myiozetetes cayanensis,Rusty-Margined Flycatcher,LC,https://mol.org/species/map/Myiozetetes cayanensis,Tyrannidae
Myiozetetes similis,Social Flycatcher,LC,https://mol.org/species/map/Myiozetetes similis,Tyrannidae
Euscarthmus meloryphus,Tawny-Crowned Pygmy-Tyrant,LC,https://mol.org/species/map/Euscarthmus meloryphus,Tyrannidae
Hirundinea ferruginea,Cliff Flycatcher,LC,https://mol.org/species/map/Hirundinea ferruginea,Tyrannidae
Satrapa icterophrys,Yellow-Browed Tyrant,LC,https://mol.org/species/map/Satrapa icterophrys,Tyrannidae
Serpophaga subcristata,White-Crested Tyrannulet,LC,https://mol.org/species/map/Serpophaga subcristata,Tyrannidae
Sublegatus modestus,Scrub Flycatcher,LC,https://mol.org/species/map/Sublegatus modestus,Tyrannidae
Fluvicola nengeta,Masked Water-Tyrant,LC,https://mol.org/species/map/Fluvicola nengeta,Tyrannidae
Platyrinchus mystaceus,White-Throated Spadebill,LC,https://mol.org/species/map/Platyrinchus mystaceus,Tyrannidae
Attila rufus,Grey-Hooded Attila,LC,https://mol.org/species/map/Attila rufus,Tyrannidae
Knipolegus cyanirostris,Blue-Billed Black-Tyrant,LC,https://mol.org/species/map/Knipolegus cyanirostris,Tyrannidae
Xolmis velatus,White Rumped Monjita,LC,https://mol.org/species/map/Xolmis velatus,Tyrannidae
Xolmis irupero,White Monjita,LC,https://mol.org/species/map/Xolmis irupero,Tyrannidae
Cnemotriccus fuscatus,Fuscous Flycatcher,LC,https://mol.org/species/map/Cnemotriccus fuscatus,Tyrannidae
Contopus cinereus,Tropical Pewee,LC,https://mol.org/species/map/Contopus cinereus,Tyrannidae
Camptostoma obsoletum,Southern Beardless Tyrannulet,LC,https://mol.org/species/map/Camptostoma obsoletum,Tyrannidae
Phaeomyias murina,Mouse-Coloured Tyrannulet,LC,https://mol.org/species/map/Phaeomyias murina,Tyrannidae
Elaenia mesoleuca,Olivaceous Elaenia,LC,https://mol.org/species/map/Elaenia mesoleuca,Tyrannidae
Empidonomus aurantioatrocristatus,Crowned Slaty Flycatcher,LC,https://mol.org/species/map/Empidonomus aurantioatrocristatus,Tyrannidae
Poecilotriccus plumbeiceps,Ochre Faced Tody Flycatcher,LC,https://mol.org/species/map/Poecilotriccus plumbeiceps,Tyrannidae
Elaenia albiceps,White-Crested Elaenia,LC,https://mol.org/species/map/Elaenia albiceps,Tyrannidae
Elaenia obscura,Highland Elaenia,LC,https://mol.org/species/map/Elaenia obscura,Tyrannidae
Elaenia chiriquensis,Lesser Elaenia,LC,https://mol.org/species/map/Elaenia chiriquensis,Tyrannidae
Knipolegus nigerrimus,Velvety Black-Tyrant,LC,https://mol.org/species/map/Knipolegus nigerrimus,Tyrannidae
Elaenia parvirostris,Small-Billed Elaenia,LC,https://mol.org/species/map/Elaenia parvirostris,Tyrannidae
Suiriri suiriri,Suiriri Flycatcher,LC,https://mol.org/species/map/Suiriri suiriri,Tyrannidae
Pitangus lictor,Lesser Kiskadee,LC,https://mol.org/species/map/Pitangus lictor,Tyrannidae
Lathrotriccus euleri,Euler's Flycatcher,LC,https://mol.org/species/map/Lathrotriccus euleri,Tyrannidae
Phyllomyias fasciatus,Planalto Tyrannulet,LC,https://mol.org/species/map/Phyllomyias fasciatus,Tyrannidae
Tolmomyias sulphurescens,Yellow-Olive Flycatcher,LC,https://mol.org/species/map/Tolmomyias sulphurescens,Tyrannidae
Todirostrum poliocephalum,Grey-Headed Tody-Flycatcher,LC,https://mol.org/species/map/Todirostrum poliocephalum,Tyrannidae
Machetornis rixosa,Cattle Tyrant,LC,https://mol.org/species/map/Machetornis rixosa,Tyrannidae
Rhytipterna simplex,Greyish Mourner,LC,https://mol.org/species/map/Rhytipterna simplex,Tyrannidae
Todirostrum cinereum,Common Tody-Flycatcher,LC,https://mol.org/species/map/Todirostrum cinereum,Tyrannidae
Legatus leucophaius,Piratic Flycatcher,LC,https://mol.org/species/map/Legatus leucophaius,Tyrannidae
Leptopogon amaurocephalus,Sepia-Capped Leptopogon,LC,https://mol.org/species/map/Leptopogon amaurocephalus,Tyrannidae
Alectrurus tricolor,Cock-Tailed Tyrant,VU,https://mol.org/species/map/Alectrurus tricolor,Tyrannidae
Pitangus sulphuratus,Great Kiskadee,LC,https://mol.org/species/map/Pitangus sulphuratus,Tyrannidae
Culicivora caudacuta,Sharp-Tailed Tyrant,VU,https://mol.org/species/map/Culicivora caudacuta,Tyrannidae
Phylloscartes ventralis,Mottle-Cheeked Tyrannulet,LC,https://mol.org/species/map/Phylloscartes ventralis,Tyrannidae
Pyrocephalus rubinus,Vermillion Flycatcher,LC,https://mol.org/species/map/Pyrocephalus rubinus,Tyrannidae
Casiornis rufus,Rufous Casiornis,LC,https://mol.org/species/map/Casiornis rufus,Tyrannidae
Sirystes sibilator,Sirystes,LC,https://mol.org/species/map/Sirystes sibilator,Tyrannidae
Megarynchus pitangua,Boat-Billed Flycatcher,LC,https://mol.org/species/map/Megarynchus pitangua,Tyrannidae
Arundinicola leucocephala,White-Headed Marsh-Tyrant,LC,https://mol.org/species/map/Arundinicola leucocephala,Tyrannidae
Phyllomyias griseocapilla,Grey-Capped Tyrannulet,NT,https://mol.org/species/map/Phyllomyias griseocapilla,Tyrannidae
Phyllomyias virescens,Greenish Tyrannulet,LC,https://mol.org/species/map/Phyllomyias virescens,Tyrannidae
Elaenia sordida,,LC,https://mol.org/species/map/Elaenia sordida,Tyrannidae
Hemitriccus orbitatus,Olivaceous Tody-Tyrant,NT,https://mol.org/species/map/Hemitriccus orbitatus,Tyrannidae
Mionectes rufiventris,Grey-Hooded Flycatcher,LC,https://mol.org/species/map/Mionectes rufiventris,Tyrannidae
Tyrannus albogularis,White-Throated Kingbird,LC,https://mol.org/species/map/Tyrannus albogularis,Tyrannidae
Tyrannus melancholicus,Tropical Kingbird,LC,https://mol.org/species/map/Tyrannus melancholicus,Tyrannidae
Tyrannus savana,Fork-Tailed Flycatcher,LC,https://mol.org/species/map/Tyrannus savana,Tyrannidae
Tyrannus tyrannus,Eastern Kingbird,LC,https://mol.org/species/map/Tyrannus tyrannus,Tyrannidae
Hemitriccus obsoletus,Brown-Breasted Tody-Tyrant,LC,https://mol.org/species/map/Hemitriccus obsoletus,Tyrannidae
Hemitriccus nidipendulus,Hangnest Tody-Tyrant,LC,https://mol.org/species/map/Hemitriccus nidipendulus,Tyrannidae
Hemitriccus margaritaceiventer,Pearly-Vented Tody-Tyrant,LC,https://mol.org/species/map/Hemitriccus margaritaceiventer,Tyrannidae
Hemitriccus diops,Drab-Breasted Tody-Tyrant,LC,https://mol.org/species/map/Hemitriccus diops,Tyrannidae
Corythopis delalandi,Delalande's Antpipit,LC,https://mol.org/species/map/Corythopis delalandi,Tyrannidae
Muscipipra vetula,Shear-Tailed Grey-Tyrant,LC,https://mol.org/species/map/Muscipipra vetula,Tyrannidae
Phylloscartes eximius,Southern Bristle-Tyrant,LC,https://mol.org/species/map/Phylloscartes eximius,Tyrannidae
Phylloscartes sylviolus,Bay-Ringed Tyrannulet,NT,https://mol.org/species/map/Phylloscartes sylviolus,Tyrannidae
Empidonomus varius,Variegated Flycatcher,LC,https://mol.org/species/map/Empidonomus varius,Tyrannidae
Conopias trivirgatus,Three Striped Flycatcher,LC,https://mol.org/species/map/Conopias trivirgatus,Tyrannidae
Serpophaga nigricans,Sooty Tyrannulet,LC,https://mol.org/species/map/Serpophaga nigricans,Tyrannidae
Phyllomyias burmeisteri,White-Fronted Tyrannulet,LC,https://mol.org/species/map/Phyllomyias burmeisteri,Tyrannidae
Myiarchus ferox,Short-Crested Flycatcher,LC,https://mol.org/species/map/Myiarchus ferox,Tyrannidae
Myiarchus swainsoni,Swainson's Flycatcher,LC,https://mol.org/species/map/Myiarchus swainsoni,Tyrannidae
Polystictus superciliaris,Grey-Backed Tachuri,LC,https://mol.org/species/map/Polystictus superciliaris,Tyrannidae
Knipolegus lophotes,Crested Black-Tyrant,LC,https://mol.org/species/map/Knipolegus lophotes,Tyrannidae
Myiarchus tuberculifer,Dusky-Capped Flycatcher,LC,https://mol.org/species/map/Myiarchus tuberculifer,Tyrannidae
Myiobius atricaudus,Black-Tailed Flycatcher,LC,https://mol.org/species/map/Myiobius atricaudus,Oxyruncidae
Myiobius barbatus,Sulphur-Rumped Flycatcher,LC,https://mol.org/species/map/Myiobius barbatus,Oxyruncidae
Oxyruncus cristatus,Sharpbill,LC,https://mol.org/species/map/Oxyruncus cristatus,Oxyruncidae
Procnias nudicollis,Bare-Throated Bellbird,NT,https://mol.org/species/map/Procnias nudicollis,Cotingidae
Lipaugus lanioides,Cinnamon-Vented Piha,NT,https://mol.org/species/map/Lipaugus lanioides,Cotingidae
Pyroderus scutatus,Red-Ruffed Fruitcrow,LC,https://mol.org/species/map/Pyroderus scutatus,Cotingidae
Lipaugus vociferans,Screaming Piha,LC,https://mol.org/species/map/Lipaugus vociferans,Cotingidae
Carpornis cucullata,Hooded Berryeater,NT,https://mol.org/species/map/Carpornis cucullata,Cotingidae
Phibalura flavirostris,Swallow-Tailed Cotinga,NT,https://mol.org/species/map/Phibalura flavirostris,Cotingidae
Phoenicircus carnifex,Guianan Red-Cotinga,LC,https://mol.org/species/map/Phoenicircus carnifex,Cotingidae
Manacus manacus,White-Bearded Manakin,LC,https://mol.org/species/map/Manacus manacus,Pipridae
Neopelma pallescens,Pale-Bellied Tyrant-Manakin,LC,https://mol.org/species/map/Neopelma pallescens,Pipridae
Neopelma chrysolophum,Serra Do Mar Tyrant-Manakin,LC,https://mol.org/species/map/Neopelma chrysolophum,Pipridae
Neopelma aurifrons,Wied's Tyrant-Manakin,NT,https://mol.org/species/map/Neopelma aurifrons,Pipridae
Ilicura militaris,Pin-Tailed Manakin,LC,https://mol.org/species/map/Ilicura militaris,Pipridae
Antilophia galeata,Helmeted Manakin,LC,https://mol.org/species/map/Antilophia galeata,Pipridae
Pipra fasciicauda,Band-Tailed Manakin,LC,https://mol.org/species/map/Pipra fasciicauda,Pipridae
Chiroxiphia caudata,Swallow-Tailed Manakin,LC,https://mol.org/species/map/Chiroxiphia caudata,Pipridae
Tityra cayana,Black-Tailed Tityra,LC,https://mol.org/species/map/Tityra cayana,Tityridae
Iodopleura pipra,Buff-Throated Purpletuft,EN,https://mol.org/species/map/Iodopleura pipra,Tityridae
Schiffornis virescens,Greenish Schiffornis,LC,https://mol.org/species/map/Schiffornis virescens,Tityridae
Laniisoma elegans,Shrike-Like Cotinga,NT,https://mol.org/species/map/Laniisoma elegans,Tityridae
Pachyramphus viridis,Green-Backed Becard,LC,https://mol.org/species/map/Pachyramphus viridis,Tityridae
Pachyramphus validus,Crested Becard,LC,https://mol.org/species/map/Pachyramphus validus,Tityridae
Pachyramphus polychopterus,White-Winged Becard,LC,https://mol.org/species/map/Pachyramphus polychopterus,Tityridae
Pachyramphus marginatus,Black-Capped Becard,LC,https://mol.org/species/map/Pachyramphus marginatus,Tityridae
Tityra inquisitor,Black-Crowned Tityra,LC,https://mol.org/species/map/Tityra inquisitor,Tityridae
Pachyramphus castaneus,Chestnut-Crowned Becard,LC,https://mol.org/species/map/Pachyramphus castaneus,Tityridae
Hylophilus amaurocephalus,Grey-Eyed Greenlet,LC,https://mol.org/species/map/Hylophilus amaurocephalus,Vireonidae
Cyclarhis gujanensis,Rufous-Browed Peppershrike,LC,https://mol.org/species/map/Cyclarhis gujanensis,Vireonidae
Vireo chivi,,LC,https://mol.org/species/map/Vireo chivi,Vireonidae
Vireo olivaceus,Red-Eyed Vireo,LC,https://mol.org/species/map/Vireo olivaceus,Vireonidae
Hylophilus thoracicus,Lemon-Chested Greenlet,LC,https://mol.org/species/map/Hylophilus thoracicus,Vireonidae
Hylophilus poicilotis,Rufous-Crowned Greenlet,LC,https://mol.org/species/map/Hylophilus poicilotis,Vireonidae
Hylophilus pectoralis,Ashy-Headed Greenlet,LC,https://mol.org/species/map/Hylophilus pectoralis,Vireonidae
Cyanocorax cristatellus,Curl-Crested Jay,LC,https://mol.org/species/map/Cyanocorax cristatellus,Corvidae
Cyanocorax chrysops,Plush-Crested Jay,LC,https://mol.org/species/map/Cyanocorax chrysops,Corvidae
Cyanocorax cyanopogon,White-Naped Jay,LC,https://mol.org/species/map/Cyanocorax cyanopogon,Corvidae
Petrochelidon pyrrhonota,Cliff Swallow,LC,https://mol.org/species/map/Petrochelidon pyrrhonota,Hirundinidae
Alopochelidon fucata,Tawny Headed Swallow,LC,https://mol.org/species/map/Alopochelidon fucata,Hirundinidae
Tachycineta albiventer,White-Winged Swallow,LC,https://mol.org/species/map/Tachycineta albiventer,Hirundinidae
Pygochelidon cyanoleuca,Blue-And-White Swallow,LC,https://mol.org/species/map/Pygochelidon cyanoleuca,Hirundinidae
Progne tapera,Brown Chested Martin,LC,https://mol.org/species/map/Progne tapera,Hirundinidae
Riparia riparia,Sand Martin,LC,https://mol.org/species/map/Riparia riparia,Hirundinidae
Progne subis,Purple Martin,LC,https://mol.org/species/map/Progne subis,Hirundinidae
Hirundo rustica,Barn Swallow,LC,https://mol.org/species/map/Hirundo rustica,Hirundinidae
Progne chalybea,Grey-Breasted Martin,LC,https://mol.org/species/map/Progne chalybea,Hirundinidae
Stelgidopteryx ruficollis,Southern Rough-Winged Swallow,LC,https://mol.org/species/map/Stelgidopteryx ruficollis,Hirundinidae
Tachycineta leucorrhoa,White-Rumped Swallow,LC,https://mol.org/species/map/Tachycineta leucorrhoa,Hirundinidae
Pygochelidon melanoleuca,Black Collared Swallow,LC,https://mol.org/species/map/Pygochelidon melanoleuca,Hirundinidae
Cantorchilus longirostris,Long Billed Wren,LC,https://mol.org/species/map/Cantorchilus longirostris,Troglodytidae
Cantorchilus leucotis,Buff Breasted Wren,LC,https://mol.org/species/map/Cantorchilus leucotis,Troglodytidae
Cistothorus platensis,Sedge Wren,LC,https://mol.org/species/map/Cistothorus platensis,Troglodytidae
Troglodytes aedon,House Wren,LC,https://mol.org/species/map/Troglodytes aedon,Troglodytidae
Polioptila plumbea,Tropical Gnatcatcher,LC,https://mol.org/species/map/Polioptila plumbea,Polioptilidae
Polioptila dumicola,Masked Gnatcatcher,LC,https://mol.org/species/map/Polioptila dumicola,Polioptilidae
Donacobius atricapilla,Black-Capped Donacobius,LC,https://mol.org/species/map/Donacobius atricapilla,Donacobiidae
Turdus flavipes,Yellow-Legged Thrush,LC,https://mol.org/species/map/Turdus flavipes,Turdidae
Turdus subalaris,Eastern Slaty Thrush,LC,https://mol.org/species/map/Turdus subalaris,Turdidae
Turdus rufiventris,Rufous-Bellied Thrush,LC,https://mol.org/species/map/Turdus rufiventris,Turdidae
Turdus nigriceps,Eastern Slaty-Thrush,LC,https://mol.org/species/map/Turdus nigriceps,Turdidae
Turdus leucomelas,Pale-Breasted Thrush,LC,https://mol.org/species/map/Turdus leucomelas,Turdidae
Turdus amaurochalinus,Creamy-Bellied Thrush,LC,https://mol.org/species/map/Turdus amaurochalinus,Turdidae
Turdus albicollis,White-Necked Thrush,LC,https://mol.org/species/map/Turdus albicollis,Turdidae
Mimus saturninus,Chalk-Browed Mockingbird,LC,https://mol.org/species/map/Mimus saturninus,Mimidae
Anthus hellmayri,Hellmayr's Pipit,LC,https://mol.org/species/map/Anthus hellmayri,Motacillidae
Anthus nattereri,Ochre-Breasted Pipit,VU,https://mol.org/species/map/Anthus nattereri,Motacillidae
Anthus lutescens,Yellowish Pipit,LC,https://mol.org/species/map/Anthus lutescens,Motacillidae
Setophaga pitiayumi,Tropical Parula,LC,https://mol.org/species/map/Setophaga pitiayumi,Parulidae
Geothlypis aequinoctialis,Masked Yellowthroat,LC,https://mol.org/species/map/Geothlypis aequinoctialis,Parulidae
Myiothlypis flaveola,,LC,https://mol.org/species/map/Myiothlypis flaveola,Parulidae
Myiothlypis leucoblephara,,LC,https://mol.org/species/map/Myiothlypis leucoblephara,Parulidae
Myiothlypis leucophrys,White Striped Warbler,LC,https://mol.org/species/map/Myiothlypis leucophrys,Parulidae
Basileuterus culicivorus,Golden-Crowned Warbler,LC,https://mol.org/species/map/Basileuterus culicivorus,Parulidae
Dacnis cayana,Blue Dacnis,LC,https://mol.org/species/map/Dacnis cayana,Thraupidae
Dacnis nigripes,Black-Legged Dacnis,NT,https://mol.org/species/map/Dacnis nigripes,Thraupidae
Stilpnia cayana,,LC,https://mol.org/species/map/Stilpnia cayana,Thraupidae
Ramphocelus bresilius,Brazilian Tanager,LC,https://mol.org/species/map/Ramphocelus bresilius,Thraupidae
Tersina viridis,Swallow-Tanager,LC,https://mol.org/species/map/Tersina viridis,Thraupidae
Stilpnia preciosa,,LC,https://mol.org/species/map/Stilpnia preciosa,Thraupidae
Chlorophanes spiza,Green Honeycreeper,LC,https://mol.org/species/map/Chlorophanes spiza,Thraupidae
Ramphocelus carbo,Silver-Beaked Tanager,LC,https://mol.org/species/map/Ramphocelus carbo,Thraupidae
Tangara cyanoventris,Gilt-Edged Tanager,LC,https://mol.org/species/map/Tangara cyanoventris,Thraupidae
Neothraupis fasciata,White-Banded Tanager,NT,https://mol.org/species/map/Neothraupis fasciata,Thraupidae
Trichothraupis melanops,Black-Goggled Tanager,LC,https://mol.org/species/map/Trichothraupis melanops,Thraupidae
Tangara desmaresti,Brassy-Breasted Tanager,LC,https://mol.org/species/map/Tangara desmaresti,Thraupidae
Tangara seledon,Green-Headed Tanager,LC,https://mol.org/species/map/Tangara seledon,Thraupidae
Coereba flaveola,Bananaquit,LC,https://mol.org/species/map/Coereba flaveola,Thraupidae
Sicalis citrina,Stripe-Tailed Yellow-Finch,LC,https://mol.org/species/map/Sicalis citrina,Thraupidae
Volatinia jacarina,Blue-Black Grassquit,LC,https://mol.org/species/map/Volatinia jacarina,Thraupidae
Schistochlamys ruficapillus,Cinnamon Tanager,LC,https://mol.org/species/map/Schistochlamys ruficapillus,Thraupidae
Sicalis columbiana,Orange-Fronted Yellow-Finch,LC,https://mol.org/species/map/Sicalis columbiana,Thraupidae
Sicalis flaveola,Saffron Finch,LC,https://mol.org/species/map/Sicalis flaveola,Thraupidae
Schistochlamys melanopis,Black-Faced Tanager,LC,https://mol.org/species/map/Schistochlamys melanopis,Thraupidae
Paroaria dominicana,Red-Cowled Cardinal,LC,https://mol.org/species/map/Paroaria dominicana,Thraupidae
Conirostrum speciosum,Chestnut-Vented Conebill,LC,https://mol.org/species/map/Conirostrum speciosum,Thraupidae
Cypsnagra hirundinacea,White-Rumped Tanager,LC,https://mol.org/species/map/Cypsnagra hirundinacea,Thraupidae
Emberizoides herbicola,Wedge-Tailed Grass-Finch,LC,https://mol.org/species/map/Emberizoides herbicola,Thraupidae
Asemospiza fuliginosa,,LC,https://mol.org/species/map/Asemospiza fuliginosa,Thraupidae
Embernagra longicauda,Pale-Throated Serra-Finch,LC,https://mol.org/species/map/Embernagra longicauda,Thraupidae
Embernagra platensis,Great Pampa-Finch,LC,https://mol.org/species/map/Embernagra platensis,Thraupidae
Haplospiza unicolor,Uniform Finch,LC,https://mol.org/species/map/Haplospiza unicolor,Thraupidae
Thraupis sayaca,Sayaca Tanager,LC,https://mol.org/species/map/Thraupis sayaca,Thraupidae
Thraupis palmarum,Palm Tanager,LC,https://mol.org/species/map/Thraupis palmarum,Thraupidae
Sporophila americana,Wing-Barred Seedeater,LC,https://mol.org/species/map/Sporophila americana,Thraupidae
Thraupis ornata,Golden-Chevroned Tanager,LC,https://mol.org/species/map/Thraupis ornata,Thraupidae
Sporophila angolensis,,LC,https://mol.org/species/map/Sporophila angolensis,Thraupidae
Sporophila ardesiaca,Dubois' Seedeater,LC,https://mol.org/species/map/Sporophila ardesiaca,Thraupidae
Sporophila bouvreuil,Capped Seedeater,LC,https://mol.org/species/map/Sporophila bouvreuil,Thraupidae
Thraupis cyanoptera,Azure-Shouldered Tanager,LC,https://mol.org/species/map/Thraupis cyanoptera,Thraupidae
Sporophila caerulescens,Double-Collared Seedeater,LC,https://mol.org/species/map/Sporophila caerulescens,Thraupidae
Sporophila collaris,Rusty-Collared Seedeater,LC,https://mol.org/species/map/Sporophila collaris,Thraupidae
Sporophila falcirostris,Temminck's Seedeater,VU,https://mol.org/species/map/Sporophila falcirostris,Thraupidae
Sporophila frontalis,Buffy-Throated Seedeater,VU,https://mol.org/species/map/Sporophila frontalis,Thraupidae
Pipraeidea melanonota,Fawn-Breasted Tanager,LC,https://mol.org/species/map/Pipraeidea melanonota,Thraupidae
Sporophila leucoptera,White-Bellied Seedeater,LC,https://mol.org/species/map/Sporophila leucoptera,Thraupidae
Microspingus cinereus,,LC,https://mol.org/species/map/Microspingus cinereus,Thraupidae
Sporophila lineola,Lined Seedeater,LC,https://mol.org/species/map/Sporophila lineola,Thraupidae
Sporophila melanogaster,Black-Bellied Seedeater,NT,https://mol.org/species/map/Sporophila melanogaster,Thraupidae
Eucometis penicillata,Grey-Headed Tanager,LC,https://mol.org/species/map/Eucometis penicillata,Thraupidae
Sporophila nigricollis,Yellow-Bellied Seedeater,LC,https://mol.org/species/map/Sporophila nigricollis,Thraupidae
Sporophila plumbea,Plumbeous Seedeater,LC,https://mol.org/species/map/Sporophila plumbea,Thraupidae
Saltatricula atricollis,,LC,https://mol.org/species/map/Saltatricula atricollis,Thraupidae
Saltator similis,Green-Winged Saltator,LC,https://mol.org/species/map/Saltator similis,Thraupidae
Saltator maximus,Buff-Throated Saltator,LC,https://mol.org/species/map/Saltator maximus,Thraupidae
Saltator maxillosus,Thick-Billed Saltator,LC,https://mol.org/species/map/Saltator maxillosus,Thraupidae
